Match_id,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11
1030221,India,New Zealand,Feroz Shah Kotla,India,field,New Zealand,E Lewis,CAK Walton,KOA Powell,SD Hope,JN Mohammed,JL Carter,JO Holder,AR Nurse,V Permaul,D Bishoo,ST Gabriel
1030223,India,New Zealand,"""Punjab Cricket Association Stadium",India,field,India,Tamim Iqbal,Soumya Sarkar,Sabbir Rahman,Mushfiqur Rahim,Shakib Al Hasan,Mosaddek Hossain,Mahmudullah,Mashrafe Mortaza,Mehedi Hasan Miraz,Taskin Ahmed,Mustafizur Rahman
1030225,India,New Zealand,JSCA International Stadium Complex,New Zealand,bat,New Zealand,MD Gunathilaka,WU Tharanga,BKG Mendis,LD Chandimal,TAM Siriwardana,DAS Gunaratne,NLTC Perera,S Prasanna,MDK Perera,KMDN Kulasekara,RAS Lakmal
1030227,India,New Zealand,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,bat,India,L Winfield,TT Beaumont,SJ Taylor,HC Knight,NR Sciver,FC Wilson,KH Brunt,JL Gunn,LA Marsh,A Shrubsole,A Hartley
1031425,England,South Africa,Headingley,South Africa,field,England,S Mandhana,PG Raut,M Raj,H Kaur,DB Sharma,V Krishnamurthy,S Pandey,S Verma,J Goswami,RS Gayakwad,Poonam Yadav
1031427,England,South Africa,The Rose Bowl,South Africa,field,England,MDN Hansika,GWHM Perera,AC Jayangani,HASD Siriwardene,MADD Surangika,PM Weerakkody,LE Kaushalya,KADA Kanchana,SS Weerakkody,HHC Gunaratne,I Ranaweera
1031429,England,South Africa,Lord's,South Africa,field,South Africa,L Lee,L Wolvaardt,T Chetty,M du Preez,M Kapp,S Luus,N de Klerk,S Ismail,M Klaas,M Daniels,R Ntozakhe
1033371,Bangladesh,New Zealand,Clontarf Cricket Club Ground,Bangladesh,field,Bangladesh,L Lee,T Chetty,A Steyn,CL Tryon,M du Preez,S Luus,M Kapp,S Ismail,M Daniels,M Klaas,R Ntozakhe
1034819,India,England,Maharashtra Cricket Association Stadium,India,field,India,A Steyn,S Luus,T Chetty,M du Preez,M Kapp,N de Klerk,CL Tryon,S Ismail,A Khaka,M Klaas,R Ntozakhe
1034821,India,England,Barabati Stadium,England,field,India,AM Rahane,S Dhawan,V Kohli,HH Pandya,Yuvraj Singh,MS Dhoni,KM Jadhav,B Kumar,UT Yadav,R Ashwin,Kuldeep Yadav
1034823,India,England,Eden Gardens,India,field,England,AM Rahane,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,B Kumar,UT Yadav,HH Pandya,Kuldeep Yadav,R Ashwin
1050223,Pakistan,West Indies,Sharjah Cricket Stadium,West Indies,field,Pakistan,E Lewis,KA Hope,SD Hope,RL Chase,JN Mohammed,JO Holder,R Powell,D Bishoo,AR Nurse,AS Joseph,KOK Williams
1050225,Pakistan,West Indies,Sharjah Cricket Stadium,Pakistan,bat,Pakistan,E Lewis,KA Hope,SD Hope,RL Chase,JN Mohammed,JO Holder,R Powell,AR Nurse,D Bishoo,AS Joseph,KOK Williams
1050227,Pakistan,West Indies,Sheikh Zayed Stadium,Pakistan,bat,Pakistan,JJ Roy,JM Bairstow,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,CR Woakes,LE Plunkett,JC Archer,AU Rashid
1059711,Sri Lanka,West Indies,Harare Sports Club,Sri Lanka,field,West Indies,Imam-ul-Haq,Fakhar Zaman,Babar Azam,Haris Sohail,Sarfraz Ahmed,Mohammad Hafeez,Imad Wasim,Shadab Khan,Hasan Ali,Wahab Riaz,Mohammad Amir
1059714,Sri Lanka,West Indies,Queens Sports Club,West Indies,field,Sri Lanka,HDRL Thirimanne,MDKJ Perera,FDM Karunaratne,BKG Mendis,DM de Silva,AD Mathews,BMAJ Mendis,NLTC Perera,I Udana,RAS Lakmal,SL Malinga
